"province_country","day_100","Confirmed"
"California, US",132,397870
"Florida, US",127,360394
"Maharashtra, India",40,318695
"Sao Paulo, Brazil",61,416434
"Texas, US",125,343783
"Argentina",123,136118
"South Africa",125,381798
"Andhra Pradesh, India",41,58668
"California, US",133,409305
"Florida, US",128,369834
"Maharashtra, India",41,327031
"Sao Paulo, Brazil",62,422669
"Texas, US",126,351071
"Argentina",124,141900
"South Africa",126,394948
"Andhra Pradesh, India",42,64713
"California, US",134,421286
"Florida, US",129,379619
"Maharashtra, India",42,337607
"Sao Paulo, Brazil",63,439446
"Texas, US",127,363615
"Argentina",125,148027
"South Africa",127,408052
"Andhra Pradesh, India",43,72711
"California, US",135,430773
"Florida, US",130,389868
"Maharashtra, India",43,347502
"Sao Paulo, Brazil",64,452007
"Texas, US",128,373037
"Argentina",126,153520
"South Africa",128,421996
"Andhra Pradesh, India",44,80858
"California, US",136,440185
"Florida, US",131,402312
"Maharashtra, India",44,357117
"Sao Paulo, Brazil",65,463218
"Texas, US",129,380364
"Argentina",127,158334
"South Africa",129,434200
"Andhra Pradesh, India",45,88671
"California, US",137,446452
"Florida, US",132,414511
"Maharashtra, India",45,366368
"Sao Paulo, Brazil",66,479481
"Texas, US",130,390286
"Argentina",128,162526
"South Africa",130,445433
"Andhra Pradesh, India",46,96298
"California, US",138,452288
"Florida, US",133,423855
"Maharashtra, India",46,375799
"Sao Paulo, Brazil",67,483982
"Texas, US",131,394084
"Argentina",129,167416
"South Africa",131,452529
"Andhra Pradesh, India",47,102349
"California, US",139,458121
"Florida, US",134,432747
"Maharashtra, India",47,383723
"Sao Paulo, Brazil",68,487654
"Texas, US",132,400336
"Argentina",130,173355
"South Africa",132,459761
"Andhra Pradesh, India",48,102349
"California, US",140,470762
"Florida, US",135,441977
"Maharashtra, India",48,383723
"Sao Paulo, Brazil",69,487654
"Texas, US",133,408493
"Argentina",131,178996
"South Africa",133,471123
"Andhra Pradesh, India",49,120390
"California, US",141,484913
"Florida, US",136,451423
"Maharashtra, India",49,400651
"Sao Paulo, Brazil",70,514197
"Texas, US",134,418995
"Argentina",132,185373
"South Africa",134,482169
"Andhra Pradesh, India",50,130557
"California, US",142,492934
"Florida, US",137,461379
"Maharashtra, India",50,411798
"Sao Paulo, Brazil",71,529006
"Texas, US",135,428229
"Argentina",133,191302
"South Africa",135,493183
"Andhra Pradesh, India",51,140933
"California, US",143,500556
"Florida, US",138,470386
"Maharashtra, India",51,422118
"Sao Paulo, Brazil",72,542304
"Texas, US",136,438293
"Argentina",134,196543
"South Africa",136,503290
"Andhra Pradesh, India",52,150209
"California, US",144,506613
"Florida, US",139,480028
"Maharashtra, India",52,431719
"Sao Paulo, Brazil",73,552318
"Texas, US",137,444738
"Argentina",135,201919
"South Africa",137,511485
"Andhra Pradesh, India",53,158764
"California, US",145,512175
"Florida, US",140,487132
"Maharashtra, India",53,441228
"Sao Paulo, Brazil",74,558685
"Texas, US",138,448145
"Argentina",136,206743
"South Africa",138,516862
"Andhra Pradesh, India",54,166586
"California, US",146,516851
"Florida, US",141,491884
"Maharashtra, India",54,450196
"Sao Paulo, Brazil",75,560218
"Texas, US",139,456624
"Argentina",137,213535
"South Africa",139,521318
"Andhra Pradesh, India",55,176333
"California, US",147,526685
"Florida, US",142,497330
"Maharashtra, India",55,457956
"Sao Paulo, Brazil",76,575589
"Texas, US",140,466032
"Argentina",138,220682
"South Africa",140,529877
"Andhra Pradesh, India",56,186461
"California, US",148,530606
"Florida, US",143,502739
"Maharashtra, India",56,468265
"Sao Paulo, Brazil",77,585265
"Texas, US",141,476999
"Argentina",139,228195
"South Africa",141,538184
"Andhra Pradesh, India",57,196789
"California, US",149,541339
"Florida, US",144,510389
"Maharashtra, India",57,479779
"Sao Paulo, Brazil",78,598670
"Texas, US",142,483920
"Argentina",140,235677
"South Africa",142,545476
"Andhra Pradesh, India",58,206960
"California, US",150,546814
"Florida, US",145,518075
"Maharashtra, India",58,490262
"Sao Paulo, Brazil",79,608379
"Texas, US",143,491304
"Argentina",141,241811
"South Africa",143,553188
"Andhra Pradesh, India",59,217040
"California, US",151,554388
"Florida, US",146,526577
"Maharashtra, India",59,503084
"Sao Paulo, Brazil",80,621731
"Texas, US",144,497632
"Argentina",142,246499
"South Africa",144,559859
"Andhra Pradesh, India",60,227860
"California, US",152,559746
"Florida, US",147,532806
"Maharashtra, India",60,515332
"Sao Paulo, Brazil",81,627126
"Texas, US",145,503328
"Argentina",143,253868
"South Africa",145,563598
"Andhra Pradesh, India",61,235525
"California, US",153,574231
"Florida, US",148,536961
"Maharashtra, India",61,524513
"Sao Paulo, Brazil",82,628415
"Texas, US",146,509581
"Argentina",144,260911
"South Africa",146,566109
"Andhra Pradesh, India",62,244549
"California, US",154,578946
"Florida, US",149,542792
"Maharashtra, India",62,535601
"Sao Paulo, Brazil",83,639562
"Texas, US",147,517700
"Argentina",145,268574
"South Africa",147,568919
"Andhra Pradesh, India",63,254146
"California, US",155,591376
"Florida, US",150,550901
"Maharashtra, India",63,548313
"Sao Paulo, Brazil",84,655181
"Texas, US",148,523977
"Argentina",146,276072
"South Africa",148,572865
"Andhra Pradesh, India",64,264142
"California, US",156,597984
"Florida, US",151,557137
"Maharashtra, India",64,560126
"Sao Paulo, Brazil",85,674455
"Texas, US",149,530857
"Argentina",147,282437
"South Africa",149,579140
"Andhra Pradesh, India",65,273085
"California, US",157,613101
"Florida, US",152,563285
"Maharashtra, India",65,572734
"Sao Paulo, Brazil",86,686122
"Texas, US",150,539673
"Argentina",148,289100
"South Africa",150,583653
"Andhra Pradesh, India",66,281817
"California, US",158,617994
"Florida, US",153,569637
"Maharashtra, India",66,584754
"Sao Paulo, Brazil",87,697530
"Texas, US",151,546552
"Argentina",149,294569
"South Africa",151,587345
"Andhra Pradesh, India",67,289829
"California, US",159,623873
"Florida, US",154,573416
"Maharashtra, India",67,595865
"Sao Paulo, Brazil",88,699493
"Texas, US",152,555394
"Argentina",150,299126
"South Africa",152,589886
"Andhra Pradesh, India",68,296609
"California, US",160,629415
"Florida, US",155,576094
